Restaurant Name,Location,City,Cuisines,Average Cost for Two,Currency,Has Table Booking,Has Online Delivery,Aggregate Rating,Rating Color,Rating Text,Votes,Restaurant Type,Address,Phone Number
"Gonzales, Mendoza And Miller", jayanagar ,Bangalore,Italian,600.0,INR,No,No,3.0,Orange,Good,5022.522421052631,Cafe,"873 Melissa Hills, Suarezfurt, AR 50711",+1-911-403-3453x899
Jackson-Jennings, indiranagar ,Bangalore,North Indian,300.0,INR,Yes,No,2.3,Yellow,Very Good,5822.0,Casual Dining,"500 Koch Springs, Stephenshire, IN 50693",001-567-207-9327x83021
Carter Ltd, indiranagar ,Bangalore,Chinese,600.0,INR,Yes,No,2.2,Green,Good,8838.0,Casual Dining,"30857 Fuller Locks Apt. 157, Wilsonburgh, AZ 41451",(730)246-5109x4032
"Jackson, Holden And Phillips", btm ,Bangalore,Unknown,500.0,INR,Yes,Yes,4.7,Yellow,Good,3040.0,Cafe,"426 Robin Freeway, Royton, KS 83901",+1-174-593-9963x034
Williams Llc, btm ,Bangalore,South Indian,600.0,INR,No,Yes,4.0,Orange,Poor,3823.0,Dessert Parlor,"265 Nathan Villages, Port Kevinhaven, MD 38831",001-359-882-7923x2512
Valentine Plc, hsr ,Bangalore,Italian,600.0,INR,No,Yes,2.9,Red,Excellent,3328.0,Quick Bites,"3908 John Harbors Apt. 807, South Angelahaven, WI 06137",+1-590-833-7992x658
Olson-Ortega, koramangala ,Bangalore,Chinese,600.0,INR,No,No,4.2,Yellow,Very Good,9595.0,Casual Dining,"33595 Jones Viaduct Suite 982, South Garrett, CA 50509",001-407-472-8812x0334
"Andrews, Peck And Gillespie", jayanagar ,Bangalore,Mexican,600.0,INR,Yes,No,2.4,Green,Good,4376.0,Delivery,"172 James Estates Apt. 115, Aaronland, WV 22412",367.086.0427
Wood-Torres, indiranagar ,Bangalore,South Indian,448.9606039661864,INR,Yes,Yes,4.3,Green,Poor,8110.0,Cafe,"880 Eric Plains, Codyfort, MO 35222",(926)671-5059
"Foster, Mitchell And Edwards", btm ,Bangalore,North Indian,400.0,INR,No,Yes,3.7,Orange,Average,6496.0,Cafe,"550 Solomon Ridge Suite 442, Markfurt, WI 77138",(766)667-8454x770
"Francis, Davis And Ballard", indiranagar ,Bangalore,South Indian,200.0,INR,Yes,No,3.2,Red,Excellent,2522.0,Delivery,"9681 Solomon Union, Lake Davidville, CA 25327",2662432070
Juarez-Terry, hsr ,Bangalore,Chinese,500.0,INR,Yes,No,4.5,Red,Excellent,8024.0,Cafe,"00802 Melissa Brooks, Meaganshire, WI 86386",-3133
Jenkins-Walker, hsr ,Bangalore,Mexican,300.0,INR,Yes,No,2.9,Yellow,Excellent,7150.0,Delivery,"288 Andrew Centers Apt. 144, West Jonathan, VT 51114",1455744337
"Guzman, Evans And Gonzalez", hsr ,Bangalore,North Indian,500.0,INR,No,Yes,3.0,Red,Excellent,3827.0,Quick Bites,"00133 Smith Ports, Shawburgh, SC 51328",(531)619-6016x468
Boyd-Campbell, jayanagar ,Bangalore,Mexican,600.0,INR,No,Yes,2.6,Red,Very Good,5504.0,Quick Bites,"987 Gene Loop, Desireeview, WI 26891",(858)509-9636
Williams-Vazquez, hsr ,Bangalore,North Indian,600.0,INR,No,Yes,2.8,Yellow,Excellent,4421.0,Quick Bites,"06619 Michelle Trafficway, Lake Alexandra, OH 87615",266.647.6069x1513
Delacruz-Cole, btm ,Bangalore,Italian,700.0,INR,Yes,Yes,2.5,Orange,Good,1922.0,Casual Dining,"958 Vicki Island, Robertfort, MT 58118",(056)197-2084x5352
"Middleton, Joseph And Owens", btm ,Bangalore,Continental,300.0,INR,No,Yes,3.5,Green,Good,8805.0,Casual Dining,"7864 Gardner Port, Jillianstad, CA 41615",3948355117
Flores-Aguilar, koramangala ,Bangalore,Continental,300.0,INR,Yes,No,3.4,Green,Poor,8772.0,Cafe,"92574 Benjamin Union, Port Markport, CT 48027",228-702-4284x05450
Mitchell Group, btm ,Bangalore,Continental,700.0,INR,No,Yes,4.4,Green,Excellent,4379.0,Casual Dining,"PSC 0739, Box 6418, APO AA 29018",(739)365-6363x19699
Davis Inc, btm ,Bangalore,Continental,300.0,INR,No,Yes,2.2,Green,Very Good,6679.0,Dessert Parlor,"24837 Hughes Mills Suite 294, Davidburgh, DE 01008",714-015-6475x2955
Middleton-Perez, jayanagar ,Bangalore,Continental,500.0,INR,Yes,No,4.3,Orange,Average,1122.0,Quick Bites,"417 White Expressway, West Wandabury, PA 95557",+1-462-224-0907x6063
"Black, Bell And Cole", indiranagar ,Bangalore,North Indian,600.0,INR,Yes,Yes,2.0,Orange,Average,9367.0,Casual Dining,"32339 Richard Rapids, Port Anita, MI 78679",712.900.2257x344
Burton-Jones, hsr ,Bangalore,Chinese,600.0,INR,No,No,3.2,Red,Average,3001.0,Cafe,"961 Kenneth Trace Apt. 357, North Jerry, TX 73792",2829343056
"Cuevas, Turner And Jarvis", btm ,Bangalore,Mexican,448.9606039661864,INR,No,Yes,4.2,Green,Average,3035.0,Cafe,"0168 Joseph Burg Suite 053, North Williamstad, OK 50712",1181984074
Thomas Plc, jayanagar ,Bangalore,Italian,300.0,INR,No,No,3.1,Orange,Poor,4338.0,Dessert Parlor,"6076 Brown Locks Suite 256, Port Stephen, IN 48482",(333)287-8072
"Phillips, Ramos And Holt", jayanagar ,Bangalore,Continental,300.0,INR,Yes,No,2.4,Green,Good,7852.0,Delivery,"09797 Richard Turnpike, Port Dana, KS 70582",859.605.4169
"Taylor, Cooper And Rowe", koramangala ,Bangalore,North Indian,600.0,INR,Yes,No,3.8,Orange,Good,9036.0,Dessert Parlor,"4675 Carrillo Divide Suite 586, West Diamondborough, MD 51286",624-573-7948x699
Sims And Sons, hsr ,Bangalore,South Indian,600.0,INR,No,No,2.1,Red,Average,6793.0,Dessert Parlor,"6052 Watson Valley, Lisaside, PA 34469",001-665-071-5295
"Ramirez, Maldonado And Ward", koramangala ,Bangalore,Italian,600.0,INR,No,Yes,2.9,Red,Poor,5203.0,Cafe,"90976 Watts Radial Suite 368, Johnsonberg, MS 63048",+1-743-678-9595x296
Sanders Llc, jayanagar ,Bangalore,Unknown,700.0,INR,No,Yes,2.0,Yellow,Good,1337.0,Delivery,"9686 John Corners, Madisonland, ND 58197",(241)808-5269x484
Collins Ltd, hsr ,Bangalore,Italian,500.0,INR,No,No,3.3,Orange,Good,1529.0,Casual Dining,"071 Lisa Ridges, Christopherside, AZ 68576",841-822-1873x479
Rodriguez Plc, hsr ,Bangalore,Italian,400.0,INR,Yes,Yes,2.6,Orange,Excellent,6214.0,Cafe,"1142 Roth Forges Apt. 021, East Jaredchester, NC 85811",595.540.2472
Perry Ltd, hsr ,Bangalore,South Indian,400.0,INR,Yes,No,2.5,Green,Good,7781.0,Casual Dining,"734 Dickerson Expressway, Arnoldmouth, IN 69282",479.630.4243
Weaver-Yang, hsr ,Bangalore,North Indian,448.9606039661864,INR,Yes,Yes,3.506421052631579,Yellow,Excellent,9550.0,Delivery,"966 Mcdaniel Parkways, Shannonchester, AZ 30189",(302)688-0134
Hayes Plc, indiranagar ,Bangalore,Continental,300.0,INR,Yes,No,3.1,Green,Excellent,3530.0,Cafe,"9350 Brown Rapid Apt. 851, South William, IA 28408",(810)273-5263x57299
Goodwin-Mitchell, indiranagar ,Bangalore,Mexican,700.0,INR,Yes,No,4.9,Orange,Good,9934.0,Dessert Parlor,"3652 Spencer Stream Suite 987, Jenniferberg, AK 45259",941.712.9006x837
"Kramer, Bell And Wells", whitefield ,Bangalore,Continental,300.0,INR,No,No,4.5,Yellow,Excellent,8666.0,Dessert Parlor,"83630 Smith Light, Emilybury, MN 84518",(084)152-1119x4755
Hendrix Group, koramangala ,Bangalore,Italian,400.0,INR,No,Yes,2.1,Red,Excellent,9658.0,Delivery,"2095 Cox Crescent, West Robert, DE 74404",490-567-0232x778
"Nguyen, Shaffer And Proctor", indiranagar ,Bangalore,Mexican,600.0,INR,Yes,Yes,2.1,Orange,Very Good,1004.0,Casual Dining,"95695 Williams Corners Apt. 561, Roseland, TN 60131",+1-078-518-4805x20668
Collier-Jenkins, jayanagar ,Bangalore,Continental,700.0,INR,Yes,No,2.4,Green,Excellent,2576.0,Quick Bites,"043 Schneider Turnpike, Port Edwardborough, DE 82733",+1-647-968-8479x9595
"Atkins, Hooper And Jennings", indiranagar ,Bangalore,Mexican,700.0,INR,Yes,Yes,3.6,Red,Very Good,1838.0,Delivery,"5299 Jeffrey Mountain, New Brandyton, NY 28601",162.123.4815
Fitzgerald-Riley, jayanagar ,Bangalore,Chinese,300.0,INR,Yes,Yes,4.4,Red,Average,5022.522421052631,Dessert Parlor,"594 Neal Landing, Port Crystal, ME 35578",285-275-6562x423
Watson-Luna, koramangala ,Bangalore,Italian,500.0,INR,No,Yes,3.3,Orange,Good,3509.0,Dessert Parlor,"611 Jones Valleys, East George, OK 42973",-3990
Jackson-Williams, whitefield ,Bangalore,Continental,400.0,INR,Yes,Yes,3.6,Green,Poor,350.0,Casual Dining,"667 Jose Ramp, West John, NC 45086",(430)410-8769x1714
"Curtis, Ellis And Mcdonald", koramangala ,Bangalore,North Indian,448.9606039661864,INR,No,No,4.7,Red,Poor,9697.0,Delivery,"936 Nathan Crossroad, Jackshire, MS 12887",033-397-6945
Fitzpatrick And Sons, whitefield ,Bangalore,South Indian,700.0,INR,No,No,2.6,Red,Poor,5022.522421052631,Cafe,"467 Tapia Way Suite 795, West Philipport, SC 05072",790.268.5249x268
"Perez, Beasley And Estes", koramangala ,Bangalore,Continental,600.0,INR,No,Yes,2.6,Green,Excellent,1272.0,Cafe,"69015 Oneal Vista Apt. 661, Port Rita, CT 54867",658.058.5179
"Zimmerman, Jones And Howard", whitefield ,Bangalore,Mexican,400.0,INR,Yes,No,2.4,Green,Average,9394.0,Cafe,"Unit 8211 Box 9285, DPO AE 05995",001-981-319-1566x25167
"Fry, Salinas And Ramirez", jayanagar ,Bangalore,Chinese,700.0,INR,Yes,Yes,2.9,Green,Excellent,9591.0,Cafe,"USCGC Hansen, FPO AA 06624",001-124-755-2041
Brown Ltd, hsr ,Bangalore,South Indian,500.0,INR,Yes,No,3.9,Yellow,Very Good,3111.0,Dessert Parlor,"34838 Kristen Avenue Apt. 015, South Michael, CA 36899",(954)234-2680x72081
Wilson-Williams, koramangala ,Bangalore,South Indian,400.0,INR,No,No,4.1,Red,Excellent,6415.0,Delivery,"1894 David Bridge Suite 311, Isabellafort, MA 65926",+1-145-401-8388x160
Brock-Hensley, indiranagar ,Bangalore,Unknown,400.0,INR,No,No,2.9,Green,Very Good,5334.0,Cafe,"150 Johnson Mission Apt. 231, North Ebony, NC 27297",+1-094-918-4267x02826
"Lopez, Russo And Parker", jayanagar ,Bangalore,Mexican,400.0,INR,No,Yes,3.5,Red,Excellent,6188.0,Dessert Parlor,"716 Cox Knolls Apt. 478, Thomasfurt, LA 74197",225.093.6994x269
Hall Llc, whitefield ,Bangalore,Mexican,200.0,INR,Yes,Yes,3.3,Green,Very Good,3839.0,Delivery,"785 Thomas Gardens Apt. 202, Tiffanyshire, NV 33449",980.985.8845x51500
Johnson Llc, hsr ,Bangalore,North Indian,600.0,INR,Yes,Yes,2.5,Yellow,Very Good,3635.0,Dessert Parlor,"079 Simon Locks, West Teresafurt, WY 91670",+1-778-512-1897x012
"Lewis, Robinson And Lawrence", hsr ,Bangalore,South Indian,200.0,INR,No,No,3.3,Yellow,Very Good,1490.0,Casual Dining,"55031 Noah Pass Apt. 939, Port Jackietown, PA 77917",(113)096-3398x591
"Mercer, Barton And Whitney", indiranagar ,Bangalore,North Indian,700.0,INR,No,Yes,4.1,Red,Very Good,5285.0,Delivery,"11781 Alexis Station, South Shane, WA 43849",3990311972
"Welch, Lane And Salazar", indiranagar ,Bangalore,Chinese,700.0,INR,No,No,3.6,Green,Excellent,9664.0,Casual Dining,"757 Lopez Cliffs Suite 205, Thompsonland, LA 45799",001-555-606-0159x752
Bass-Caldwell, koramangala ,Bangalore,South Indian,600.0,INR,No,Yes,4.5,Red,Average,2336.0,Cafe,"21216 Casey Street, West Timothy, KS 87576",+1-300-748-5511x6450
"Johnson, Sandoval And Mcguire", hsr ,Bangalore,Italian,400.0,INR,Yes,No,3.2,Green,Good,1983.0,Casual Dining,"019 Forbes Parkways Apt. 392, Riosville, KY 35790",(580)257-0743x61645
Singh-Johnson, hsr ,Bangalore,Italian,200.0,INR,No,Yes,4.7,Red,Average,6602.0,Dessert Parlor,"USS Vargas, FPO AE 62405",(141)891-5302x65711
Brown-Reid, btm ,Bangalore,Chinese,200.0,INR,Yes,No,2.0,Green,Poor,636.0,Casual Dining,"363 Mendoza Walks, Lanestad, NE 42215",001-181-468-9432
"Cook, Wheeler And Gonzales", koramangala ,Bangalore,Unknown,400.0,INR,Yes,Yes,2.3,Yellow,Very Good,597.0,Delivery,"1761 Aguirre Meadows Suite 720, Joyceberg, NY 89732",+1-465-819-8912x830
Parker-Lee, hsr ,Bangalore,Italian,400.0,INR,Yes,Yes,3.0,Orange,Excellent,8408.0,Cafe,"5110 Ashley Cliffs, East Justin, NC 67751",-10434
"Lynch, Williams And Murray", jayanagar ,Bangalore,Continental,400.0,INR,Yes,Yes,4.9,Green,Good,8547.0,Delivery,"Unit 9013 Box 3113, DPO AP 94466",+1-052-371-8414x005
Lopez Group, whitefield ,Bangalore,Continental,448.9606039661864,INR,Yes,No,4.7,Red,Poor,2412.0,Cafe,"798 Weiss Bridge Apt. 220, East Heatherville, GA 17340",773-634-0298x8961
"Shelton, Richardson And Kim", whitefield ,Bangalore,South Indian,300.0,INR,No,Yes,2.0,Green,Good,179.0,Dessert Parlor,"126 Jones Canyon, South Julieberg, ID 42108",961-988-1974
"Manning, Baker And Brown", koramangala ,Bangalore,South Indian,700.0,INR,Yes,No,2.5,Red,Average,6251.0,Casual Dining,"54153 Peterson Cove Apt. 047, Watersfurt, CT 11879",655-280-6150x92965
"Lane, Rios And Shea", jayanagar ,Bangalore,North Indian,500.0,INR,No,No,4.2,Yellow,Average,9871.0,Dessert Parlor,"0259 Gail Center Suite 717, New Mariachester, VT 31549",145-020-7749x09165
"Ray, Zuniga And Sanchez", btm ,Bangalore,North Indian,400.0,INR,Yes,Yes,3.5,Green,Poor,2631.0,Cafe,"035 Tyler Plains Apt. 087, Port Nicholas, NC 74938",065.493.8272x74033
"Levy, Poole And Carter", whitefield ,Bangalore,North Indian,600.0,INR,No,Yes,3.8,Green,Poor,5022.522421052631,Delivery,"74095 Phillips Lake, Arnoldview, TX 30607",001-685-917-0883
Simpson And Sons, btm ,Bangalore,Italian,200.0,INR,Yes,Yes,2.7,Green,Very Good,5259.0,Dessert Parlor,"USNS Stewart, FPO AP 22868",319.391.0998x93950
Reed-Brooks, koramangala ,Bangalore,Continental,500.0,INR,Yes,Yes,3.506421052631579,Red,Good,3497.0,Cafe,"02338 Gates Drive Apt. 348, North Gail, MS 31524",(524)577-5224x485
"Coffey, Myers And May", whitefield ,Bangalore,North Indian,700.0,INR,No,Yes,2.1,Green,Very Good,9350.0,Cafe,"889 Gonzales Mount, West Kevin, CO 69837",778.507.5187x93523
"Nelson, Flores And Diaz", btm ,Bangalore,Italian,700.0,INR,No,No,2.7,Yellow,Poor,3279.0,Casual Dining,"799 Wilson Dale Apt. 648, Morrischester, CO 92611",941.304.5523
"Weber, Weiss And Watts", koramangala ,Bangalore,Italian,600.0,INR,No,Yes,4.8,Red,Very Good,9978.0,Cafe,"9686 Davies Lodge Suite 671, Brianport, ND 63240",7552619039
"Gordon, Ross And Dunn", jayanagar ,Bangalore,Continental,200.0,INR,Yes,Yes,2.1,Red,Very Good,2880.0,Delivery,"8619 Richards Lodge, Matthewmouth, DE 73943",(986)618-7285x594
Steele-Garcia, whitefield ,Bangalore,Italian,700.0,INR,Yes,Yes,4.7,Yellow,Poor,5097.0,Quick Bites,"09833 Hardy Harbors Apt. 188, Davidbury, MO 16727",224-289-9799
Montgomery Ltd, hsr ,Bangalore,North Indian,200.0,INR,No,Yes,4.5,Orange,Average,1660.0,Dessert Parlor,"559 Sheila Highway Suite 620, West Danielton, MD 03550",(278)528-2610x515
"Carter, Guerra And Foster", hsr ,Bangalore,South Indian,300.0,INR,Yes,Yes,4.5,Orange,Poor,3440.0,Cafe,"5795 Adkins Canyon Suite 539, East Virginiastad, TN 99482",733-915-2997
Peterson-Sanchez, btm ,Bangalore,Unknown,500.0,INR,Yes,Yes,3.9,Orange,Poor,6377.0,Casual Dining,"831 Sean Extension, Lake Kristie, NC 83839",336-224-1953x382
Rodriguez-Kelly, whitefield ,Bangalore,Continental,600.0,INR,Yes,No,3.506421052631579,Red,Very Good,5791.0,Quick Bites,"391 Jason Stream Suite 797, Port Richardhaven, MA 68423",892-623-6740x140
Steele Inc, indiranagar ,Bangalore,Unknown,600.0,INR,No,Yes,3.4,Yellow,Very Good,6561.0,Quick Bites,"14600 Sanchez Springs Apt. 725, Heatherborough, WI 83011",(004)589-2556
Flores-Morgan, btm ,Bangalore,Italian,500.0,INR,No,No,2.0,Orange,Poor,2291.0,Cafe,"2861 Cannon Crest, Port Daniel, AZ 11380",001-974-497-1564x18666
Frazier-Murphy, jayanagar ,Bangalore,Italian,300.0,INR,Yes,Yes,4.9,Orange,Average,9819.0,Cafe,"180 Tom Park, Bishophaven, IA 57035",(091)259-7825
Scott-Cannon, btm ,Bangalore,Italian,700.0,INR,No,Yes,2.6,Orange,Good,3579.0,Quick Bites,"99092 Mcgee Ways, Port Bethstad, RI 78805",060.149.1474x2664
Shaw-Francis, btm ,Bangalore,North Indian,500.0,INR,No,Yes,4.6,Green,Very Good,8803.0,Casual Dining,"4684 Rodriguez Viaduct, North Heather, IN 55086",(974)193-2283x64849
Jones And Sons, whitefield ,Bangalore,North Indian,300.0,INR,No,Yes,3.9,Red,Poor,4744.0,Delivery,"793 Evan Turnpike, West Alexandra, MD 19373",001-184-488-2549x237
"Walker, Shaffer And Hernandez", whitefield ,Bangalore,Italian,448.9606039661864,INR,Yes,No,3.5,Green,Very Good,5462.0,Delivery,"004 Taylor Underpass Suite 326, South Danielburgh, MA 01957",732.666.8262
Harmon-Krause, hsr ,Bangalore,Continental,448.9606039661864,INR,Yes,No,4.3,Yellow,Poor,6538.0,Dessert Parlor,"286 Robles Ports Suite 305, Tuckerfurt, ME 65082",+1-701-211-5406x58536
Travis Group, hsr ,Bangalore,Continental,400.0,INR,Yes,No,2.5,Yellow,Poor,121.0,Delivery,"0027 Cooper Stravenue, Lake Vicki, NH 70872",001-852-713-1406x1481
Hall Group, indiranagar ,Bangalore,Continental,600.0,INR,Yes,No,3.7,Orange,Poor,9783.0,Casual Dining,"25390 Johnson Motorway Suite 721, East Katherine, NH 34830",262-334-7708x32726
"Mckenzie, Lee And Braun", hsr ,Bangalore,Italian,400.0,INR,Yes,Yes,2.2,Orange,Good,57.0,Casual Dining,"824 Figueroa Squares, Amyville, MD 73752",336-989-6430x5964
Oliver-Armstrong, whitefield ,Bangalore,South Indian,500.0,INR,Yes,No,3.1,Orange,Good,9477.0,Delivery,"893 Miller Street, Greenebury, DC 94703",711-918-6051
"West, Combs And Garcia", indiranagar ,Bangalore,Continental,300.0,INR,Yes,Yes,3.5,Red,Very Good,7242.0,Delivery,"4573 Cruz Radial, Garciaberg, RI 53299",060.582.5401x9099
Andrade-Burns, hsr ,Bangalore,Italian,300.0,INR,Yes,No,2.3,Orange,Excellent,7234.0,Cafe,"7529 Cheryl Run Suite 048, West Nathaniel, ND 84096",149-464-5633
"Williams, Simmons And Cruz", hsr ,Bangalore,Italian,500.0,INR,No,No,2.2,Green,Poor,4864.0,Cafe,"396 Cristian Spring Suite 898, North Joshuaton, RI 13938",(523)124-2354x43501
"Anderson, Baker And Choi", jayanagar ,Bangalore,Chinese,400.0,INR,No,Yes,2.5,Yellow,Very Good,6751.0,Delivery,"3949 Robinson Wells, Leahhaven, WI 69159",698-278-8383x67689
Morris-Schroeder, btm ,Bangalore,North Indian,700.0,INR,Yes,Yes,2.9,Orange,Average,2666.0,Dessert Parlor,"4682 Randy Well, West Stacy, WI 36785",993.890.0372x25341
York Ltd, indiranagar ,Bangalore,Continental,400.0,INR,No,No,3.4,Orange,Good,5987.0,Casual Dining,"4614 Graham Parkway Suite 128, Suzannefort, IL 63642",958-354-6577x0875
"Schneider, Obrien And Walsh", btm ,Bangalore,South Indian,600.0,INR,No,No,4.2,Green,Poor,1389.0,Dessert Parlor,"USS Anderson, FPO AA 06399",468.086.9731x632
Everett-Baldwin, hsr ,Bangalore,Chinese,700.0,INR,Yes,Yes,2.0,Red,Very Good,3016.0,Delivery,"97908 Higgins Pines Apt. 313, East Toddview, ID 54671",886.529.2155x2165
Pierce-Jones, indiranagar ,Bangalore,North Indian,500.0,INR,Yes,Yes,4.8,Orange,Poor,495.0,Cafe,"5873 David Drive, Port Jonathanbury, MT 58857",001-451-682-7579x41344
"Walker, Williams And Martinez", indiranagar ,Bangalore,Chinese,700.0,INR,No,Yes,4.2,Green,Average,5257.0,Cafe,"34342 Yvette Curve Apt. 918, West Cody, MN 22755",5502305870
Johnson-Warren, btm ,Bangalore,South Indian,600.0,INR,No,Yes,2.2,Orange,Very Good,7498.0,Dessert Parlor,"8296 Ashley Groves Apt. 104, Thomasbury, NV 03352",001-059-686-8976x2671
"Myers, Torres And Anderson", indiranagar ,Bangalore,Italian,300.0,INR,No,Yes,4.8,Yellow,Excellent,2334.0,Quick Bites,"937 Francisco Court Suite 890, North Tinaville, NJ 70572",302-544-9415x84610
"Gomez, Beasley And Floyd", hsr ,Bangalore,North Indian,400.0,INR,No,Yes,3.9,Green,Very Good,8255.0,Delivery,"875 Brown Village, Bryanthaven, DE 84611",(099)475-4100x405
Campbell-Livingston, btm ,Bangalore,Italian,600.0,INR,Yes,Yes,2.4,Red,Average,5022.522421052631,Quick Bites,"93846 Christopher Club Suite 138, Port Kimberly, LA 41044",001-801-702-5675x850
Sullivan Group, jayanagar ,Bangalore,Mexican,200.0,INR,No,Yes,4.5,Green,Excellent,5472.0,Delivery,"Unit 6137 Box 3301, DPO AA 60804",151-697-0543
Coleman Llc, hsr ,Bangalore,Continental,700.0,INR,No,No,2.0,Green,Excellent,7894.0,Cafe,"799 Lee Views Apt. 539, Nealbury, OR 75820",802-899-4211x099
